postcode,gemeente,lat,lon
1012MK,Amsterdam,52.37878792,4.89464035
1012ML,Amsterdam,52.37845729,4.8950993
1012MN,Amsterdam,52.37801,4.89560359
1012MP,Amsterdam,52.37758214,4.89602432
1012MR,Amsterdam,52.37705232,4.89656879
1012MS,Amsterdam,52.37630351,4.89588685
1012MT,Amsterdam,52.37530006,4.89448817
1012MV,Amsterdam,52.3748485,4.89396452
1012MX,Amsterdam,52.37421608,4.89317857
1012MZ,Amsterdam,52.37859057,4.89473066
1012NA,Amsterdam,52.37823279,4.89514585
1012NB,Amsterdam,52.37712847,4.89646166
1012NC,Amsterdam,52.37641931,4.89563591
1012ND,Amsterdam,52.37631892,4.89526988
1012NE,Amsterdam,52.37576006,4.89487957
1012NG,Amsterdam,52.37528942,4.89409179
1012NH,Amsterdam,52.37537997,4.89425232
1012NJ,Amsterdam,52.37482141,4.89393545
1012NK,Amsterdam,52.37493837,4.89396352
1012NL,Amsterdam,52.37424237,4.89301674
1012NM,Amsterdam,52.37431457,4.89308936
1012NN,Amsterdam,52.37418624,4.89248871
1012NP,Amsterdam,52.37336161,4.89302655
1012NR,Amsterdam,52.37140585,4.89237894
1012NS,Amsterdam,52.37035242,4.89208627
1012NT,Amsterdam,52.37005874,4.89197676
1012NV,Amsterdam,52.36953828,4.89176605
1012NW,Amsterdam,52.37212649,4.89211521
1012NX,Amsterdam,52.37146235,4.89234288
1012NZ,Amsterdam,52.37140144,4.89205886
1012PA,Amsterdam,52.3701648,4.89154976
1012PB,Amsterdam,52.36919448,4.89163401
1012PC,Amsterdam,52.37251215,4.89192
1012PD,Amsterdam,52.37210716,4.89191782
1012PE,Amsterdam,52.37161342,4.89193004
1012PG,Amsterdam,52.37123552,4.89183147
1012PH,Amsterdam,52.37073131,4.89161684
1012PJ,Amsterdam,52.37036203,4.89143008
1012PK,Amsterdam,52.36989833,4.89123986
1012PL,Amsterdam,52.37210585,4.89175159
1012PM,Amsterdam,52.37071278,4.8914849
1012PN,Amsterdam,52.36944727,4.89078922
1012PP,Amsterdam,52.37002043,4.8906399
1012PR,Amsterdam,52.36925401,4.89082577
1012PS,Amsterdam,52.3767892,4.89567515
1012PT,Amsterdam,52.37613498,4.89539703
1012PV,Amsterdam,52.37615599,4.89499266
1012PW,Amsterdam,52.37545804,4.89357592
1012PX,Amsterdam,52.37518542,4.8934372
1012PZ,Amsterdam,52.37455343,4.89217623
1012RA,Amsterdam,52.37598222,4.89860723
1012RB,Amsterdam,52.37263729,4.89175708
1012RC,Amsterdam,52.37722936,4.89559806
1012RD,Amsterdam,52.37680332,4.89504422
1012RE,Amsterdam,52.3756813,4.89322703
1012RG,Amsterdam,52.3745879,4.8918234
1012RH,Amsterdam,52.3743804,4.89163481
1012RJ,Amsterdam,52.37412832,4.89153483
1012RK,Amsterdam,52.37251695,4.89092141
1012RL,Amsterdam,52.37165588,4.89102874
1012RM,Amsterdam,52.37102543,4.8910262
1012RN,Amsterdam,52.37157452,4.89003538
1012RP,Amsterdam,52.37045941,4.88968591
1012RR,Amsterdam,52.37299305,4.89040086
1012RS,Amsterdam,52.37188556,4.89038516
1012RT,Amsterdam,52.37123725,4.89009874
